JobId,ArrayId,Program,Nodes,Tasks,MaxThreads,Particles,DiffCoeff,TimeStep,EndTime,WallTime
7479,4,hybrid,1,1,16,12800,1.5,0.001,100.0,79.581
7480,4,hybrid,1,1,32,12800,1.5,0.001,100.0,70.668
7481,1,hybrid,1,2,1,12800,1.5,0.001,10.0,19.361
7480,3,hybrid,1,1,32,1280000,1.5,0.001,10.0,100.438
7480,5,hybrid,1,1,32,128000,1.5,0.001,100.0,154.590
7479,3,hybrid,1,1,16,1280000,1.5,0.001,10.0,196.190
7481,2,hybrid,1,2,1,128000,1.5,0.001,10.0,135.370
7482,1,hybrid,1,2,2,12800,1.5,0.001,10.0,18.032
7479,5,hybrid,1,1,16,128000,1.5,0.001,100.0,247.684
7481,4,hybrid,1,2,1,12800,1.5,0.001,100.0,184.589
7482,2,hybrid,1,2,2,128000,1.5,0.001,10.0,67.874
7482,4,hybrid,1,2,2,12800,1.5,0.001,100.0,121.557
7482,3,hybrid,1,2,2,1280000,1.5,0.001,10.0,628.453
7483,1,hybrid,1,2,4,12800,1.5,0.001,10.0,10.413
7483,2,hybrid,1,2,4,128000,1.5,0.001,10.0,41.319
7482,5,hybrid,1,2,2,128000,1.5,0.001,100.0,685.611
7480,6,hybrid,1,1,32,1280000,1.5,0.001,100.0,994.591
7483,4,hybrid,1,2,4,12800,1.5,0.001,100.0,95.596
7483,3,hybrid,1,2,4,1280000,1.5,0.001,10.0,351.200
7484,1,hybrid,1,2,8,12800,1.5,0.001,10.0,9.703
7484,2,hybrid,1,2,8,128000,1.5,0.001,10.0,26.723
7481,3,hybrid,1,2,1,1280000,1.5,0.001,10.0,1223.982
7484,4,hybrid,1,2,8,12800,1.5,0.001,100.0,79.590
7483,5,hybrid,1,2,4,128000,1.5,0.001,100.0,409.590
7481,5,hybrid,1,2,1,128000,1.5,0.001,100.0,1316.626
7485,1,hybrid,1,2,16,12800,1.5,0.001,10.0,8.609
7484,3,hybrid,1,2,8,1280000,1.5,0.001,10.0,192.889
7485,2,hybrid,1,2,16,128000,1.5,0.001,10.0,16.458
7485,4,hybrid,1,2,16,12800,1.5,0.001,100.0,70.031
7485,3,hybrid,1,2,16,1280000,1.5,0.001,10.0,101.863
7484,5,hybrid,1,2,8,128000,1.5,0.001,100.0,247.839
7486,1,hybrid,1,4,1,12800,1.5,0.001,10.0,13.164
7486,2,hybrid,1,4,1,128000,1.5,0.001,10.0,72.724
7485,5,hybrid,1,2,16,128000,1.5,0.001,100.0,154.596
7486,4,hybrid,1,4,1,12800,1.5,0.001,100.0,124.610
7479,6,hybrid,1,1,16,1280000,1.5,0.001,100.0,1926.615
7476,6,hybrid,1,1,2,1280000,1.5,0.001,100.0,12409.436
7487,1,hybrid,1,4,2,12800,1.5,0.001,10.0,10.233
7487,2,hybrid,1,4,2,128000,1.5,0.001,10.0,41.268
7487,3,hybrid,1,4,2,1280000,1.5,0.001,10.0,348.729
7486,3,hybrid,1,4,1,1280000,1.5,0.001,10.0,643.701
7487,4,hybrid,1,4,2,12800,1.5,0.001,100.0,96.228
7486,5,hybrid,1,4,1,128000,1.5,0.001,100.0,683.706
7488,1,hybrid,1,4,4,12800,1.5,0.001,10.0,12.528
7488,2,hybrid,1,4,4,128000,1.5,0.001,10.0,30.069
7485,6,hybrid,1,2,16,1280000,1.5,0.001,100.0,994.623
7488,4,hybrid,1,4,4,12800,1.5,0.001,100.0,79.592
7488,3,hybrid,1,4,4,1280000,1.5,0.001,10.0,197.768
7489,1,hybrid,1,4,8,12800,1.5,0.001,10.0,12.948
7487,5,hybrid,1,4,2,128000,1.5,0.001,100.0,432.622
7489,2,hybrid,1,4,8,128000,1.5,0.001,10.0,17.063
7489,4,hybrid,1,4,8,12800,1.5,0.001,100.0,70.584
7489,3,hybrid,1,4,8,1280000,1.5,0.001,10.0,104.969
7488,5,hybrid,1,4,4,128000,1.5,0.001,100.0,250.582
7490,1,hybrid,1,8,1,12800,1.5,0.001,10.0,10.568
7490,2,hybrid,1,8,1,128000,1.5,0.001,10.0,48.976
7478,6,hybrid,1,1,8,1280000,1.5,0.001,100.0,3476.006
7489,5,hybrid,1,4,8,128000,1.5,0.001,100.0,155.576
7490,4,hybrid,1,8,1,12800,1.5,0.001,100.0,96.559
7490,3,hybrid,1,8,1,1280000,1.5,0.001,10.0,361.654
7491,1,hybrid,1,8,2,12800,1.5,0.001,10.0,13.734
7484,6,hybrid,1,2,8,1280000,1.5,0.001,100.0,1964.847
7491,2,hybrid,1,8,2,128000,1.5,0.001,10.0,28.985
7490,5,hybrid,1,8,1,128000,1.5,0.001,100.0,406.583
7491,4,hybrid,1,8,2,12800,1.5,0.001,100.0,79.588
7491,3,hybrid,1,8,2,1280000,1.5,0.001,10.0,199.375
7492,1,hybrid,1,8,4,12800,1.5,0.001,10.0,9.282
7492,2,hybrid,1,8,4,128000,1.5,0.001,10.0,17.005
7491,5,hybrid,1,8,2,128000,1.5,0.001,100.0,248.184
7492,3,hybrid,1,8,4,1280000,1.5,0.001,10.0,101.596
7492,4,hybrid,1,8,4,12800,1.5,0.001,100.0,70.595
7492,5,hybrid,1,8,4,128000,1.5,0.001,100.0,157.579
7493,1,hybrid,1,16,1,12800,1.5,0.001,10.0,13.847
7489,6,hybrid,1,4,8,1280000,1.5,0.001,100.0,993.559
7493,2,hybrid,1,16,1,128000,1.5,0.001,10.0,26.946
7493,4,hybrid,1,16,1,12800,1.5,0.001,100.0,80.015
7493,3,hybrid,1,16,1,1280000,1.5,0.001,10.0,225.051
7493,5,hybrid,1,16,1,128000,1.5,0.001,100.0,255.999
7494,1,hybrid,1,16,2,12800,1.5,0.001,10.0,8.595
7494,2,hybrid,1,16,2,128000,1.5,0.001,10.0,16.849
7494,3,hybrid,1,16,2,1280000,1.5,0.001,10.0,102.107
7494,4,hybrid,1,16,2,12800,1.5,0.001,100.0,70.587
7483,6,hybrid,1,2,4,1280000,1.5,0.001,100.0,3478.554
7494,5,hybrid,1,16,2,128000,1.5,0.001,100.0,154.597
7495,1,hybrid,1,32,1,12800,1.5,0.001,10.0,11.838
7495,2,hybrid,1,32,1,128000,1.5,0.001,10.0,21.735
7488,6,hybrid,1,4,4,1280000,1.5,0.001,100.0,1929.779
7495,4,hybrid,1,32,1,12800,1.5,0.001,100.0,71.559
7492,6,hybrid,1,8,4,1280000,1.5,0.001,100.0,997.693
7495,3,hybrid,1,32,1,1280000,1.5,0.001,10.0,121.189
7495,5,hybrid,1,32,1,128000,1.5,0.001,100.0,157.581
